date, pm25, pm10, o3, no2, so2, co
2024/7/9, 58, 26, 53, 7, 1, 
2024/7/10, 45, 23, 24, 6, , 
2024/7/11, 36, 13, 22, 6, , 
2024/7/12, 23, 14, 58, 3, 1, 
2024/7/13, 33, 21, 30, 1, , 
2024/7/14, 41, 13, 40, 1, 1, 
2024/7/15, 27, 23, 35, 3, , 
2024/7/16, 52, 18, 46, , , 
2024/7/17, 39, 19, 52, , , 
2024/7/18, 33, 32, 55, 7, 1, 
2024/7/19, 46, 35, 53, 5, 1, 
2024/7/20, 46, 20, 53, 4, 1, 
2024/7/21, 40, 29, 49, 5, , 
2024/7/22, 47, 25, 70, 5, 1, 
2024/7/23, 40, 19, 28, 6, , 
2024/7/24, 31, 16, 72, 5, 1, 
2024/7/25, 32, 16, 57, 6, 1, 
2024/7/26, 31, , 56, 3, , 
2024/8/2, 30, 19, 58, 3, 1, 
2024/8/3, 36, 15, 50, 3, 1, 
2024/8/4, 31, 15, 49, 4, , 
2024/8/5, 27, 14, 34, 3, 1, 
2024/8/6, 23, 9, 21, 3, , 
2024/8/7, 14, 16, 36, 5, 1, 
2024/8/8, 26, 11, 26, 3, , 
2024/8/9, 18, 15, 25, 3, , 
2024/8/10, 27, 16, 32, 4, 1, 
2024/8/11, 30, 17, 53, 3, 1, 
2024/8/12, 30, 31, 52, 4, 1, 
2024/8/13, 50, 26, 33, 3, 1, 
2024/8/14, 39, 17, 28, 2, 1, 
2024/8/15, 27, 18, 9, 1, , 
2024/8/16, 20, 12, 32, 2, 1, 
2024/8/17, 18, 22, 28, 3, 1, 
2024/8/18, 30, 22, 39, 3, 1, 
2024/8/19, 28, 14, 41, 6, 1, 
2024/8/20, 25, 21, 37, 4, 1, 
2024/8/21, 37, 21, 25, 6, 1, 
2024/8/22, 30, 18, 35, 8, 1, 
2024/8/23, 21, 15, 36, 5, 1, 
2024/8/24, 20, 11, 31, 3, 1, 
2024/8/25, 15, 9, 21, 4, 1, 
2024/8/26, 11, 13, 9, 4, , 
2024/8/27, 14, 14, 21, 5, 1, 
2024/8/28, 18, 16, 20, 6, 1, 
2024/8/29, 21, 10, 4, 4, , 
2024/8/30, 10, 19, 22, 5, 1, 
2024/8/31, 20, 14, 20, 4, , 
2024/9/1, 17, 14, 29, 3, 1, 
2024/9/2, 19, 12, 30, 2, , 
2024/9/3, 22, 12, 33, 2, 1, 
2024/9/4, 26, 12, 31, 3, 1, 
2024/9/5, 25, 24, 56, 7, 1, 
2024/9/6, 43, 31, 79, 6, 1, 
2024/9/7, 54, 31, 54, 3, 1, 
2024/9/8, 49, 25, 32, 2, , 
2024/9/9, 41, 15, 32, 6, 1, 
2024/9/10, 24, 15, 41, 6, 1, 
2024/9/11, 20, 16, 50, 5, 1, 
2024/9/12, 26, 13, 32, 5, 1, 
2024/9/13, 20, 12, 24, 4, 1, 
2024/9/14, 19, 11, 17, 1, , 
2024/9/15, 15, 11, 24, 2, , 
2024/9/16, 17, 16, 48, 5, 1, 
2024/9/17, 27, 19, 32, 10, 1, 
2024/9/18, 29, 15, 28, 7, , 
2024/9/19, 25, 23, 60, 9, 1, 
2024/9/20, 35, 29, 23, 5, 1, 
2024/9/21, 41, 9, 18, 2, , 
2024/9/22, 16, 8, 22, 1, 1, 
2024/9/23, 17, 10, 31, 2, 1, 
2024/9/24, 25, 10, 26, 3, 1, 
2024/9/25, 25, 10, 35, 2, , 
2024/9/26, 21, 17, 23, 4, 1, 
2024/9/27, 30, 17, 30, 3, , 
2024/9/28, 36, 17, 28, 1, , 
2024/9/29, 36, 14, 34, 2, 1, 
2024/9/30, 37, 15, 27, 6, 1, 
2024/4/1, 59, 22, 44, 7, 1, 
2024/4/2, 56, 23, 42, 14, 1, 
2024/4/3, 63, 9, 39, 8, 1, 
2024/4/4, 29, 18, 35, 6, 1, 
2024/4/5, 55, 17, 33, 6, 1, 
2024/4/6, 54, 11, 42, 5, 1, 
2024/4/7, 41, 10, 36, 5, 1, 
2024/4/8, 30, 5, 43, 2, 1, 
2024/4/9, 18, 9, 40, 3, 1, 
2024/4/10, 31, 12, 44, 8, 1, 
2024/4/11, 39, 13, 43, 6, 1, 
2024/4/12, 40, 11, 45, 4, , 
2024/4/13, 33, 14, 56, 4, 1, 
2024/4/14, 45, 18, 58, 9, , 
2024/4/15, 52, 14, 46, 7, 1, 
2024/4/16, 40, 15, 49, 5, 1, 
2024/4/17, 44, 50, 40, 4, 1, 
2024/4/18, 87, 41, 42, 1, , 
2024/4/19, 74, 42, 54, 6, 1, 
2024/4/20, 80, 26, 60, 3, 1, 
2024/4/21, 66, 18, 41, 4, , 
2024/4/22, 55, 12, 37, 3, , 
2024/4/23, 38, 7, 32, 3, , 
2024/4/24, 20, 7, 46, 4, 1, 
2024/4/25, 21, 12, 49, 7, , 
2024/4/26, 38, 16, 45, 9, , 
2024/4/27, 47, 21, 64, 5, 1, 
2024/4/28, 56, 20, 55, 6, 1, 
2024/4/29, 57, 15, 39, 5, , 
2024/4/30, 39, 13, 38, 5, , 
2024/5/1, 43, 9, 40, 2, , 
2024/5/2, 30, 12, 57, 5, 1, 
2024/5/3, 38, 14, 69, 5, 1, 
2024/5/4, 47, 14, 49, 6, 1, 
2024/5/5, 46, 12, 41, 1, , 
2024/5/6, 37, 15, 30, 7, , 
2024/5/7, 42, 7, 39, 2, 1, 
2024/5/8, 22, 5, 35, 3, , 
2024/5/9, 15, 10, 40, 9, 1, 
2024/5/10, 34, 12, 47, 7, , 
2024/5/11, 38, 9, 40, 1, , 
2024/5/12, 24, 8, 32, 6, , 
2024/5/13, 25, 10, 41, 3, 1, 
2024/5/14, 30, 13, 59, 7, 1, 
2024/5/15, 40, 10, 49, 3, 1, 
2024/5/16, 29, 10, 58, 6, 1, 
2024/5/17, 31, 15, 74, 5, 1, 
2024/5/18, 47, 22, 62, 7, 1, 
2024/5/19, 63, 9, 34, 5, , 
2024/5/20, 27, 15, , 7, 1, 
2024/5/21, 47, 13, 35, 3, 1, 
2024/5/22, 41, 16, 42, 6, , 
2024/5/23, 45, 19, 71, 8, 1, 
2024/5/24, 55, 10, 48, 3, 1, 
2024/5/25, 31, 11, 42, 2, 1, 
2024/5/26, 33, 14, 30, 6, , 
2024/5/27, 36, 13, 22, 7, , 
2024/5/28, 32, 6, 42, 2, 1, 
2024/5/29, 17, 13, 49, 10, 1, 
2024/5/30, 35, 9, 39, 8, 1, 
2024/5/31, 26, 10, 43, 4, 1, 
2024/6/1, 31, 11, 36, 3, , 
2024/6/2, 34, 7, 43, 3, 1, 
2024/6/3, 21, 8, 38, 2, 1, 
2024/6/4, 25, 10, 42, 4, 1, 
2024/6/5, 27, 13, 48, 7, 1, 
2024/6/6, 37, 10, 42, 5, 1, 
2024/6/7, 31, 11, 43, 3, 1, 
2024/6/8, 34, 10, 37, 3, , 
2024/6/9, 27, 9, 43, 3, , 
2024/6/10, 28, 13, 60, 6, 1, 
2024/6/11, 38, 13, 48, 7, 1, 
2024/6/12, 36, 12, 33, 11, 1, 
2024/6/13, 34, 20, 73, 9, 1, 
2024/6/14, 53, 11, 45, 5, , 
2024/6/15, 31, 9, 54, 4, , 
2024/6/16, 24, 18, 44, 5, 1, 
2024/6/17, 44, 11, 47, 7, , 
2024/6/18, 28, 12, 68, 6, 1, 
2024/6/19, 38, 15, 53, 9, , 
2024/6/20, 45, 11, 33, 8, , 
2024/6/21, 33, 10, 57, 5, 1, 
2024/6/22, 30, 8, 40, 3, , 
2024/6/23, 21, 15, 48, 9, , 
2024/6/24, 32, 23, 56, 7, 1, 
2024/6/25, 44, 37, 56, 5, 1, 
2024/6/26, 67, 21, 42, 4, , 
2024/6/27, 49, 12, 21, 6, , 
2024/6/28, 28, 11, 39, 3, , 
2024/6/29, 30, 17, 34, 3, , 
2024/6/30, 39, 18, 11, 8, , 
2024/1/1, 15, 10, 23, 6, , 
2024/1/2, 34, 14, 17, 10, 1, 
2024/1/3, 50, 9, 30, 6, , 
2024/1/4, 30, 11, 23, 14, 1, 
2024/1/5, 38, 18, 19, 22, 1, 
2024/1/6, 61, 11, 28, 11, 1, 
2024/1/7, 38, 4, 28, 3, 1, 
2024/1/8, 12, 11, 21, 18, 1, 
