date, pm25, pm10, o3, no2, so2
2024/12/14, 28, 2, 33, 1, 1
2024/12/15, 20, 3, 28, 1, 1
2024/12/16, 24, 4, 31, 1, 1
2024/12/17, 21, 5, 31, 1, 1
2024/12/18, 23, 4, 32, 1, 1
2024/12/19, 24, 4, 29, 2, 1
2024/12/20, 22, 4, 35, 2, 1
2024/12/21, 26, 7, 32, 1, 1
2024/12/22, 31, 3, 30, 2, 1
2024/12/23, 20, 4, 34, 2, 
2024/12/24, 26, 4, 35, 1, 1
2024/12/25, 22, 6, 33, 2, 1
2024/12/26, 32, 12, 35, 2, 
2024/12/27, 46, 2, 31, 1, 
2024/12/28, 24, 3, 32, 1, 
2024/12/29, 21, , , , 
2024/7/1, 36, 15, 16, 2, 
2024/7/2, 34, 26, 19, 1, 4
2024/7/3, 56, 29, 22, 1, 1
2024/7/4, 70, 19, 1, 1, 
2024/7/5, 59, 30, 38, 1, 1
2024/7/6, 65, 30, 30, 1, 1
2024/7/7, 72, 19, 23, 1, 2
2024/7/8, 66, 20, 16, 1, 1
2024/7/9, 54, 20, 10, 1, 1
2024/7/10, 47, 11, 19, 1, 
2024/7/11, 32, 7, 38, 1, 
2024/7/12, 25, 12, 43, 1, 
2024/7/13, 23, 17, 30, 1, 1
2024/7/14, 38, 5, 8, 1, 
2024/7/15, 19, 8, 16, 1, 
2024/7/16, 31, 21, 29, 1, 
2024/7/17, 46, 19, 15, , 
2024/7/18, 38, 15, 14, 1, 1
2024/7/19, 34, 23, 17, 1, 1
2024/7/20, 47, 41, 20, 1, 2
2024/7/21, 70, 34, 19, 1, 1
2024/7/22, 69, 14, 14, 1, 1
2024/7/23, 29, 10, 13, 1, 
2024/7/24, 24, 11, 17, 1, 
2024/7/25, 28, 10, 16, , 
2024/7/26, 22, 10, 13, , 
2024/7/27, 21, 13, 20, 1, 
2024/7/28, 25, 21, 32, 1, 1
2024/7/29, 59, 10, 29, 1, 1
2024/7/30, 45, 13, 37, 1, 1
2024/7/31, 39, 16, 60, 3, 2
2024/8/1, 60, 16, 42, 1, 1
2024/8/2, 48, 19, 35, 1, 
2024/8/3, 55, 21, 31, 1, 
2024/8/4, 52, 23, 35, 1, 1
2024/8/5, 55, 19, 30, 1, 1
2024/8/6, 48, 23, 35, 1, 1
2024/8/7, 60, 8, 34, 1, 1
2024/8/8, 37, 13, 56, 1, 1
2024/8/9, 50, 7, 37, 1, 
2024/8/10, 33, 10, 38, 1, 1
2024/8/11, 35, 12, 33, , 1
2024/8/12, 36, 11, 39, 1, 1
2024/8/13, 38, 14, 45, 1, 1
2024/8/14, 48, 23, 49, 1, 1
2024/8/15, 56, 13, 29, 1, 1
2024/8/16, 42, 6, 25, 1, 1
2024/8/17, 29, 10, 33, 1, 1
2024/8/18, 39, 14, 7, 1, 
2024/8/19, 30, 12, 14, , 
2024/8/20, 17, 12, 35, 2, 1
2024/8/21, 34, 17, 18, 1, 1
2024/8/22, 34, 9, 12, 1, 
2024/8/23, 22, 11, 18, 1, 
2024/8/24, 23, 7, 27, 1, 
2024/8/25, 26, 13, 12, 1, 
2024/8/26, 20, 29, 15, 1, 
2024/8/27, 22, 10, 12, 1, 
2024/8/28, 18, 22, 20, 1, 
2024/8/29, 23, 32, 26, , 
2024/8/30, 32, 7, 24, 1, 
2024/8/31, 17, 9, 31, 1, 
2024/9/1, 27, 13, 30, 1, 1
2024/9/2, 36, 15, 32, 1, 1
2024/9/3, 49, 10, 44, 1, 1
2024/9/4, 41, 9, 39, , 
2024/9/5, 32, 14, 44, 1, 1
2024/9/6, 40, 17, 40, 1, 1
2024/9/7, 49, 24, 54, 1, 1
2024/9/8, 63, 21, 33, 1, 1
2024/9/9, 47, 13, 10, 1, 
2024/9/10, 18, 12, 13, 1, 
2024/9/11, 23, 7, 21, 1, 1
2024/9/12, 25, 6, 18, 1, 
2024/9/13, 21, 10, 13, , 
2024/9/14, 22, 17, 8, , 
2024/9/15, 18, 19, 14, , 
2024/9/16, 24, 7, 17, , 
2024/9/17, 22, 14, 15, , 
2024/9/18, 25, 22, 12, , 
2024/9/19, 33, 10, 11, , 
2024/9/20, 23, 13, 14, , 
2024/9/21, 25, 6, 28, 1, 1
2024/9/22, 21, 4, 29, 1, 1
2024/9/23, 23, 9, 27, 1, 1
2024/9/24, 19, 8, 36, 1, 1
2024/9/25, 35, 9, 36, 1, 1
2024/9/26, 38, 8, 34, 1, 1
2024/9/27, 34, 9, 33, 1, 1
2024/9/28, 38, 11, 29, 1, 1
2024/9/29, 37, 10, 18, , 
2024/9/30, 24, 10, 32, 1, 1
2024/4/1, 41, 5, 36, 3, 1
2024/4/2, 39, 7, 40, 1, 
2024/4/3, 24, 4, 43, 1, 1
2024/4/4, 23, 14, 42, 1, 1
2024/4/5, 55, 10, 42, 1, 1
2024/4/6, 51, 12, 49, 2, 1
2024/4/7, 50, 4, 30, 2, 1
2024/4/8, 29, 3, 47, 2, 1
2024/4/9, 23, 5, 33, 1, 1
2024/4/10, 29, 7, 41, 1, 1
2024/4/11, 34, 6, 46, 1, 1
2024/4/12, 31, 9, 55, 1, 
2024/4/13, 35, 9, 52, 1, 1
2024/4/14, 56, 7, 45, 1, 
2024/4/15, 44, 8, 43, 1, 
2024/4/16, 32, 14, 42, 2, 1
2024/4/17, 44, 55, 36, 1, 1
2024/4/18, 112, 33, 46, 1, 1
2024/4/19, 73, 17, 46, 1, 
2024/4/20, 55, 7, 39, 3, 1
2024/4/21, 33, 3, 40, 1, 1
2024/4/22, 26, 5, 38, 1, 
2024/4/23, 27, 2, 29, 1, 1
2024/4/24, 15, 7, 45, 2, 1
2024/4/25, 42, 9, 31, 2, 
2024/4/26, 46, 6, 29, 1, 1
2024/4/27, 37, 6, 41, 1, 1
2024/4/28, 29, 5, 37, 1, 
2024/4/29, 28, 3, 29, 1, 
